page,id_in_page,details_page_url,agency_or_not
11,18,https://www.sortlist.com/agency/ags-cybertechand-software-solution-pvt-ltd,1
11,19,https://www.sortlist.com/agency/sputnik-digital,1
11,20,https://www.sortlist.com/agency/wdf,1
11,21,https://www.sortlist.com/agency/gosidesign,1
11,22,https://www.sortlist.com/agency/maqe-bangkok-co-ltd,1
11,23,https://www.sortlist.com/agency/webisoft,1
11,24,https://www.sortlist.com/agency/kweetix,1
11,25,https://www.sortlist.com/agency/droids-on-roids,1
11,26,https://www.sortlist.com/agency/pulse-digital,1
11,27,https://www.sortlist.com/agency/one-logic,1
11,28,https://www.sortlist.com/agency/amoniac-ou,1
11,29,https://www.sortlist.com/agency/yarmobile,1
11,30,https://www.sortlist.com/agency/vivid-binaries-gmbh,1
11,31,https://www.sortlist.com/agency/engaged,1
11,32,https://www.sortlist.com/agency/ittraders-pvt-ltd,1
11,33,https://www.sortlist.com/agency/async-labs,1
11,34,https://www.sortlist.com/agency/tyro,1
11,35,https://www.sortlist.com/agency/easy-developpement,1
11,36,https://www.sortlist.com/agency/viable-labs,1
11,37,https://www.sortlist.com/agency/think-up,1
11,38,https://www.sortlist.com/agency/itmedia,1
11,39,https://www.sortlist.com/agency/kibatic,1
11,40,https://www.sortlist.com/agency/adviseme,1
