page,id_in_page,details_page_url,agency_or_not,website
5,5,https://www.sortlist.com/agency/venturex-labs-2,1,http://www.venturexapps.com
5,6,https://www.sortlist.com/agency/css-engineering-kamerun,1,https://www.css-engineering.com/
5,7,https://www.sortlist.com/agency/origin,1,http://www.originmena.com
5,8,https://www.sortlist.com/agency/emstell-technology-consulting,1,https://www.emstell.com
5,9,https://www.sortlist.com/agency/koek,1,http://www.koek.nl
5,10,https://www.sortlist.com/agency/it-place,1,https://www.itplace.com
5,11,https://www.sortlist.com/agency/compu-vision,1,https://www.compu-vision.me
5,12,https://www.sortlist.com/agency/gwc-tech-hub,1,https://www.gwctechhub.org
5,13,https://www.sortlist.com/agency/triare,1,https://triare.net/
5,14,https://www.sortlist.com/agency/merixstudio,1,https://www.merixstudio.com/?utm_source=sortlist&amp;utm_medium=referral&amp;utm_campaign=profile
5,15,https://www.sortlist.com/agency/techgropse-pvt-ltd,1,https://www.techgropse.com/
5,16,https://www.sortlist.com/agency/quanted-square,1,http://quantedsquare.com
5,17,https://www.sortlist.com/agency/netclues-web-design-and-marketing,1,http://www.netclues.ky
5,18,https://www.sortlist.com/agency/1000-volts,1,https://www.millevolts.fr/
5,19,https://www.sortlist.com/agency/stijlbreuk,1,https://stijlbreuk.nl
5,20,https://www.sortlist.com/agency/dutch-coding-company,1,https://dutchcodingcompany.com
5,21,https://www.sortlist.com/agency/zipper-studios,1,https://zipperstudios.co/
5,22,https://www.sortlist.com/agency/eurisko-mobility,1,http://www.euriskomobility.com
5,23,https://www.sortlist.com/agency/nosyweb-digital,1,https://www.nosyweb-digital.com
5,24,https://www.sortlist.com/agency/onlinevisual,1,https://digiwedo.nl
5,25,https://www.sortlist.com/agency/uig-studio,1,https://uigstudio.com
5,26,https://www.sortlist.com/agency/absolutlabs,1,http://www.absolutlabs.com
5,27,https://www.sortlist.com/agency/webdigit,1,https://www.webdigit.be
5,28,https://www.sortlist.com/agency/sioux-high-tech-software-vietnam,1,https://www.sioux.asia
5,29,https://www.sortlist.com/agency/juice-studio,1,https://juice-studio.com
5,30,https://www.sortlist.com/agency/agitalys,1,https://agitalys.com
5,31,https://www.sortlist.com/agency/webit,1,http://www.webit.de
5,32,https://www.sortlist.com/agency/smart-booster,1,https://www.smartbooster.io
5,33,https://www.sortlist.com/agency/antenna-2,1,https://weareantenna.be/
5,34,https://www.sortlist.com/agency/8trust,1,http://www.8trust.com/
5,35,https://www.sortlist.com/agency/m4ke-it,1,https://makeit-studio.com/
5,36,https://www.sortlist.com/agency/aw-studio-agence-web-paris,1,http://www.awstudio.fr
5,37,https://www.sortlist.com/agency/velmie,1,https://www.velmie.com/
5,38,https://www.sortlist.com/agency/syntec-soluciones-ti-s-l,1,http://www.syntec.es
5,39,https://www.sortlist.com/agency/jumo-technologies,1,https://jumotech.com/
5,40,https://www.sortlist.com/agency/codeblick,1,https://www.codeblick.de
5,41,https://www.sortlist.com/agency/solid-digital,1,https://www.soliddigital.nl
5,42,https://www.sortlist.com/agency/digitransform,1,https://digitransform.co
5,43,https://www.sortlist.com/agency/zedafrica,1,https://zedafrica.com
5,44,https://www.sortlist.com/agency/ctotech,1,http://www.ctotech.io
